"id","code","excel_col","description","excel_row","calculation_formula","excel_sheet","name","register_type","default_value"
"__export__.delsol_financial_state_row_4003","D14","K","","7","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4004","D15","M","","7","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4005","D16","O","","7","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4006","D17","A","","8","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4007","D18","C","","8","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4008","D19","E","","8","","Hoja3","T.N.A.","Configuracion","0"
"__export__.delsol_financial_state_row_4009","D2","C","","6","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4010","D20","F","","8","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4011","D21","G","","8","","Hoja3","C.PAG","Configuracion","0"
"__export__.delsol_financial_state_row_4012","D22","K","","8","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4013","D23","M","","8","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4014","D24","O","","8","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4015","D25","A","","9","","Hoja3","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4016","D26","C","","9","","Hoja3","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4017","D27","E","","9","","Hoja3","T.N.A.","Configuracion","0"
"__export__.delsol_financial_state_row_4018","D28","F","","9","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4019","D29","G","","9","","Hoja3","C.PAG","Configuracion","0"
"__export__.delsol_financial_state_row_4020","D3","E","","6","","Hoja3","T.N.A.","Configuracion","0"
"__export__.delsol_financial_state_row_4021","D30","K","","9","","Hoja3","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4022","D31","M","","9","","Hoja3","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4023","D32","O","","9","","Hoja3","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4024","D33","","","","","","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4025","D34","","","","","","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4026","D35","","","","","","T.N.A.","Configuracion","0"
"__export__.delsol_financial_state_row_4027","D36","","","","","","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4028","D37","","","","","","C.PAG","Configuracion","0"
"__export__.delsol_financial_state_row_4029","D38","","","","","","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4030","D39","","","","","","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4031","D4","F","","6","","Hoja3","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4032","D40","","","","","","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4033","D41","","","","","","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4034","D42","","","","","","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4035","D43","","","","","","T.N.A.","Configuracion","0"
"__export__.delsol_financial_state_row_4036","D44","","","","","","PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4037","D45","","","","","","C.PAG","Configuracion","0"
"__export__.delsol_financial_state_row_4038","D46","","","","","","$ IMPORTE CUOTA","Configuracion","0"
"__export__.delsol_financial_state_row_4039","D47","","","","","","IMPORTE CORTO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4040","D48","","","","","","IMPORTE LARGO PLAZO","Configuracion","0"
"__export__.delsol_financial_state_row_4041","D49","","","","","","ENTIDAD","Configuracion","0"
"__export__.delsol_financial_state_row_4042","D5","G","","6","","Hoja3","C.PAG","Configuracion","0"
"__export__.delsol_financial_state_row_4043","D50","","","","","","MONTO","Configuracion","0"
"__export__.delsol_financial_state_row_4044","D51","","","","","","T.N.A.","Configuracion","0"
"__export__.delsol_financial_state_row_4045","D52","","","","","","PLAZO","Configuracion","0"
