"id","code","excel_col","description","excel_row","calculation_formula","excel_sheet","name","register_type","default_value"
"__export__.delsol_financial_state_row_4210","FF15","","","","","","CONTADO OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4211","FF16","","","","","","CONTADO OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4212","FF17","","","","","","CONTADO OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4213","FF18","","","","","","CONTADO OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4214","FF19","","","","","","CONTADO OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4215","FF2","","","","","","REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4216","FF20","","","","","","CONTADO OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4217","FF21","","","","FF15+FF16+FF17+FF18+ FF19+FF20","","CONTADO OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4218","FF22","","","","","","Planes Ahorro Costo/Precio","Configuracion","0"
"__export__.delsol_financial_state_row_4219","FF23","","","","","","P.AHORRO C/P","Configuracion","0"
"__export__.delsol_financial_state_row_4220","FF24","","","","","","P.AHORRO C/P","Configuracion","0"
"__export__.delsol_financial_state_row_4221","FF25","","","","","","P.AHORRO C/P","Configuracion","0"
"__export__.delsol_financial_state_row_4222","FF26","","","","","","P.AHORRO C/P","Configuracion","0"
"__export__.delsol_financial_state_row_4223","FF27","","","","","","P.AHORRO C/P","Configuracion","0"
"__export__.delsol_financial_state_row_4224","FF28","","","","","","P.AHORRO C/P","Configuracion","0"
"__export__.delsol_financial_state_row_4225","FF29","","","","FF23+FF24+FF25+FF26+ FF27+FF28","","P.AHORRO C/P","Configuracion","0"
"__export__.delsol_financial_state_row_4226","FF3","","","","","","REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4227","FF30","","","","","","#¿NOMBRE?","Configuracion","0"
"__export__.delsol_financial_state_row_4228","FF31","","","","","","INCENTIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4229","FF32","","","","","","INCENTIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4230","FF33","","","","","","INCENTIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4231","FF34","","","","","","INCENTIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4232","FF35","","","","","","INCENTIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4233","FF36","","","","","","INCENTIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4234","FF37","","","","FF31+FF32+FF33+FF34 +FF35+FF36","","INCENTIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4235","FF38","","","","","","Cuentas a cobrar Unid.","Configuracion","0"
"__export__.delsol_financial_state_row_4236","FF39","","","","","","CTAS A COBRAR","Configuracion","0"
"__export__.delsol_financial_state_row_4237","FF4","","","","","","REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4238","FF40","","","","","","CTAS A COBRAR","Configuracion","0"
"__export__.delsol_financial_state_row_4239","FF41","","","","","","CTAS A COBRAR","Configuracion","0"
"__export__.delsol_financial_state_row_4240","FF42","","","","","","CTAS A COBRAR","Configuracion","0"
"__export__.delsol_financial_state_row_4241","FF43","","","","","","CTAS A COBRAR","Configuracion","0"
"__export__.delsol_financial_state_row_4242","FF44","","","","","","CTAS A COBRAR","Configuracion","0"
"__export__.delsol_financial_state_row_4243","FF45","","","","FF39+FF40+FF41+FF42 +FF43+FF44","","CTAS A COBRAR","Configuracion","0"
"__export__.delsol_financial_state_row_4244","FF46","","","","","","#¿NOMBRE?","Configuracion","0"
"__export__.delsol_financial_state_row_4245","FF47","","","","","","REP Y SERV.","Configuracion","0"
"__export__.delsol_financial_state_row_4246","FF48","","","","","","REP Y SERV.","Configuracion","0"
"__export__.delsol_financial_state_row_4247","FF49","","","","","","REP Y SERV.","Configuracion","0"
"__export__.delsol_financial_state_row_4248","FF5","","","","F98+F99+FF1+FF2+FF3+FF4","","REPUESTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4249","FF50","","","","","","REP Y SERV.","Configuracion","0"
"__export__.delsol_financial_state_row_4250","FF51","","","","","","REP Y SERV.","Configuracion","0"
"__export__.delsol_financial_state_row_4251","FF52","","","","","","REP Y SERV.","Configuracion","0"
"__export__.delsol_financial_state_row_4252","FF53","","","","FF47+FF48+FF49+FF50+ FF51+FF52","","REP Y SERV.","Configuracion","0"
"__export__.delsol_financial_state_row_4253","FF54","","","","","","Desc. Prendas-Valores","Configuracion","0"
"__export__.delsol_financial_state_row_4254","FF55","","","","","","DESC PRENDAS","Configuracion","0"
"__export__.delsol_financial_state_row_4255","FF56","","","","","","DESC PRENDAS","Configuracion","0"
"__export__.delsol_financial_state_row_4256","FF57","","","","","","DESC PRENDAS","Configuracion","0"
"__export__.delsol_financial_state_row_4257","FF58","","","","","","DESC PRENDAS","Configuracion","0"
"__export__.delsol_financial_state_row_4258","FF59","","","","","","DESC PRENDAS","Configuracion","0"
"__export__.delsol_financial_state_row_4259","FF6","","","","","","#¿NOMBRE?","Configuracion","0"
"__export__.delsol_financial_state_row_4260","FF60","","","","","","DESC PRENDAS","Configuracion","0"
"__export__.delsol_financial_state_row_4261","FF61","","","","FF55+FF56+FF57+FF58 +FF59+FF60","","DESC PRENDAS","Configuracion","0"
"__export__.delsol_financial_state_row_4262","FF62","","","","","","Otros","Configuracion","0"
"__export__.delsol_financial_state_row_4263","FF63","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4264","FF64","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4265","FF65","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4266","FF66","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4267","FF67","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4268","FF68","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4269","FF69","","","","FF63+FF64+FF65+FF66+ FF67+FF68","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4270","FF7","","","","","","SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4271","FF70","","","","F81+F89+F97+FF6+FF14+ FF22+FF30+FF38+FF46+ FF54+FF62","","A TOTAL INGRESOS OPERATIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4272","FF71","","","","F82+F90+F98+FF7+FF15+ FF23+FF31+FF39+FF47+ FF55+FF63","","TOT ING. OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4273","FF72","","","","F83+F91+F99+FF8+FF16+ FF24+FF32+FF40+FF48+ FF56+FF64","","TOT ING. OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4274","FF73","","","","F84+F92+FF1+FF9+FF17+ FF25+FF33+FF41+FF49+ FF57+FF65","","TOT ING. OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4275","FF74","","","","F85+F93+FF2+FF10+FF18+ FF26+FF34+FF42+FF50+ FF58+FF66","","TOT ING. OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4276","FF75","","","","F86+F94+FF3+FF11+FF19+ FF27+FF35+FF43+FF51+ FF59+FF67","","TOT ING. OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4277","FF76","","","","F87+F95+FF4+FF12+FF20+ FF28+FF36+FF44+FF52+ FF60+FF68","","TOT ING. OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4278","FF77","","","","F88+F96+FF5+FF13+FF21+ FF29+FF37+FF45+FF53+ FF61+FF69","","TOT ING. OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4279","FF78","","","","","","Gastos Variables","Configuracion","0"
"__export__.delsol_financial_state_row_4280","FF79","","","","","","GS VARIABLES","Configuracion","0"
"__export__.delsol_financial_state_row_4281","FF8","","","","","","SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4282","FF80","","","","","","GS VARIABLES","Configuracion","0"
"__export__.delsol_financial_state_row_4283","FF81","","","","","","GS VARIABLES","Configuracion","0"
"__export__.delsol_financial_state_row_4284","FF82","","","","","","GS VARIABLES","Configuracion","0"
"__export__.delsol_financial_state_row_4285","FF83","","","","","","GS VARIABLES","Configuracion","0"
"__export__.delsol_financial_state_row_4286","FF84","","","","","","GS VARIABLES","Configuracion","0"
"__export__.delsol_financial_state_row_4287","FF85","","","","FF79+FF80+FF81+FF82+ FF83+FF84","","GS VARIABLES","Configuracion","0"
"__export__.delsol_financial_state_row_4288","FF86","","","","","","Gastos Fijos Totales","Configuracion","0"
"__export__.delsol_financial_state_row_4289","FF87","","","","","","GS FIJOS TOT.","Configuracion","0"
"__export__.delsol_financial_state_row_4290","FF88","","","","","","GS FIJOS TOT.","Configuracion","0"
"__export__.delsol_financial_state_row_4291","FF89","","","","","","GS FIJOS TOT.","Configuracion","0"
"__export__.delsol_financial_state_row_4292","FF9","","","","","","SERVICIOS","Configuracion","0"
"__export__.delsol_financial_state_row_4293","FF90","","","","","","GS FIJOS TOT.","Configuracion","0"
"__export__.delsol_financial_state_row_4294","FF91","","","","","","GS FIJOS TOT.","Configuracion","0"
"__export__.delsol_financial_state_row_4295","FF92","","","","","","GS FIJOS TOT.","Configuracion","0"
"__export__.delsol_financial_state_row_4296","FF93","","","","FF87+FF88+FF89+FF90+ FF91+FF92","","GS FIJOS TOT.","Configuracion","0"
"__export__.delsol_financial_state_row_4297","FF94","","","","","","Floor Plan Unidades","Configuracion","0"
"__export__.delsol_financial_state_row_4298","FF95","","","","","","FLOOR PLAN UN","Configuracion","0"
"__export__.delsol_financial_state_row_4299","FF96","","","","","","FLOOR PLAN UN","Configuracion","0"
"__export__.delsol_financial_state_row_4300","FF97","","","","","","FLOOR PLAN UN","Configuracion","0"
"__export__.delsol_financial_state_row_4301","FF98","","","","","","FLOOR PLAN UN","Configuracion","0"
"__export__.delsol_financial_state_row_4302","FF99","","","","","","FLOOR PLAN UN","Configuracion","0"
"__export__.delsol_financial_state_row_4303","FI1","","","","GA1+GD1","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4304","FI10","","","","GA10+GD10","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4305","FI11","","","","GA11+GD11","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4306","FI12","","","","GA12+GD12","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4307","FI2","","","","GA2+GD2","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4308","FI3","","","","GA3+GD3","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4309","FI4","","","","GA4+GD4","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4310","FI5","","","","GA5+GD5","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4311","FI6","","","","GA6+GD6","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4312","FI7","","","","GA7+GD7","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4313","FI8","","","","GA8+GD8","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4314","FI9","","","","GA9+GD9","","TOTAL GASTOS FIJOS","Configuracion","0"
"__export__.delsol_financial_state_row_4315","FN1","","","","","","FLOOR PLAN UN","Configuracion","0"
"__export__.delsol_financial_state_row_4316","FN10","","","","FN4+FN5+FN6+FN7+FN8+FN9","","FLOOR PLAN REP","Configuracion","0"
"__export__.delsol_financial_state_row_4317","FN11","","","","","","Floor Plan Otros","Configuracion","0"
"__export__.delsol_financial_state_row_4318","FN12","","","","","","FLOOR PLAN OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4319","FN13","","","","","","FLOOR PLAN OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4320","FN14","","","","","","FLOOR PLAN OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4321","FN15","","","","","","FLOOR PLAN OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4322","FN16","","","","","","FLOOR PLAN OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4323","FN17","","","","","","FLOOR PLAN OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4324","FN18","","","","FN12+FN13+FN14+FN15+ FN16+FN17","","FLOOR PLAN OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4325","FN19","","","","","","Intereses Floor Plan","Configuracion","0"
"__export__.delsol_financial_state_row_4326","FN2","","","","FF95+FF96+FF97+FF98+ FF99+FN1","","FLOOR PLAN UN","Configuracion","0"
"__export__.delsol_financial_state_row_4327","FN20","","","","","","INT FLOOR PLAN","Configuracion","0"
"__export__.delsol_financial_state_row_4328","FN21","","","","","","INT FLOOR PLAN","Configuracion","0"
"__export__.delsol_financial_state_row_4329","FN22","","","","","","INT FLOOR PLAN","Configuracion","0"
"__export__.delsol_financial_state_row_4330","FN23","","","","","","INT FLOOR PLAN","Configuracion","0"
"__export__.delsol_financial_state_row_4331","FN24","","","","","","INT FLOOR PLAN","Configuracion","0"
"__export__.delsol_financial_state_row_4332","FN25","","","","","","INT FLOOR PLAN","Configuracion","0"
"__export__.delsol_financial_state_row_4333","FN26","","","","FN20+FN21+FN22+FN23+ FN24+FN25","","INT FLOOR PLAN","Configuracion","0"
"__export__.delsol_financial_state_row_4334","FN27","","","","","","Compra de Usados","Configuracion","0"
"__export__.delsol_financial_state_row_4335","FN28","","","","","","COMPRA USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4336","FN29","","","","","","COMPRA USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4337","FN3","","","","","","Floor Plan Repuestos","Configuracion","0"
"__export__.delsol_financial_state_row_4338","FN30","","","","","","COMPRA USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4339","FN31","","","","","","COMPRA USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4340","FN32","","","","","","COMPRA USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4341","FN33","","","","","","COMPRA USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4342","FN34","","","","FN28+FN29+FN30+FN31+FN32+FN33","","COMPRA USADOS","Configuracion","0"
"__export__.delsol_financial_state_row_4343","FN35","","","","","","Otras Cuentas a Pagar","Configuracion","0"
"__export__.delsol_financial_state_row_4344","FN36","","","","","","O.CUENTAS A/P","Configuracion","0"
"__export__.delsol_financial_state_row_4345","FN37","","","","","","O.CUENTAS A/P","Configuracion","0"
"__export__.delsol_financial_state_row_4346","FN38","","","","","","O.CUENTAS A/P","Configuracion","0"
"__export__.delsol_financial_state_row_4347","FN39","","","","","","O.CUENTAS A/P","Configuracion","0"
"__export__.delsol_financial_state_row_4348","FN4","","","","","","FLOOR PLAN REP","Configuracion","0"
"__export__.delsol_financial_state_row_4349","FN40","","","","","","O.CUENTAS A/P","Configuracion","0"
"__export__.delsol_financial_state_row_4350","FN41","","","","","","O.CUENTAS A/P","Configuracion","0"
"__export__.delsol_financial_state_row_4351","FN42","","","","FN36+FN37+FN38+FN39+FN40+FN41","","O.CUENTAS A/P","Configuracion","0"
"__export__.delsol_financial_state_row_4352","FN43","","","","","","IVA","Configuracion","0"
"__export__.delsol_financial_state_row_4353","FN44","","","","","","IVA","Configuracion","0"
"__export__.delsol_financial_state_row_4354","FN45","","","","","","IVA","Configuracion","0"
"__export__.delsol_financial_state_row_4355","FN46","","","","","","IVA","Configuracion","0"
"__export__.delsol_financial_state_row_4356","FN47","","","","","","IVA","Configuracion","0"
"__export__.delsol_financial_state_row_4357","FN48","","","","","","IVA","Configuracion","0"
"__export__.delsol_financial_state_row_4358","FN49","","","","","","IVA","Configuracion","0"
"__export__.delsol_financial_state_row_4359","FN5","","","","","","FLOOR PLAN REP","Configuracion","0"
"__export__.delsol_financial_state_row_4360","FN50","","","","FN44+FN45+FN46+FN47+ FN48+FN49","","IVA","Configuracion","0"
"__export__.delsol_financial_state_row_4361","FN51","","","","","","Ingresos Brutos","Configuracion","0"
"__export__.delsol_financial_state_row_4362","FN52","","","","","","ING BRUTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4363","FN53","","","","","","ING BRUTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4364","FN54","","","","","","ING BRUTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4365","FN55","","","","","","ING BRUTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4366","FN56","","","","","","ING BRUTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4367","FN57","","","","","","ING BRUTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4368","FN58","","","","FN52+FN53+FN54+FN55+ FN56+FN57","","ING BRUTOS","Configuracion","0"
"__export__.delsol_financial_state_row_4369","FN59","","","","","","Ant. Importe a las Ganancias","Configuracion","0"
"__export__.delsol_financial_state_row_4370","FN6","","","","","","FLOOR PLAN REP","Configuracion","0"
"__export__.delsol_financial_state_row_4371","FN60","","","","","","ANT IMP GCIAS.","Configuracion","0"
"__export__.delsol_financial_state_row_4372","FN61","","","","","","ANT IMP GCIAS.","Configuracion","0"
"__export__.delsol_financial_state_row_4373","FN62","","","","","","ANT IMP GCIAS.","Configuracion","0"
"__export__.delsol_financial_state_row_4374","FN63","","","","","","ANT IMP GCIAS.","Configuracion","0"
"__export__.delsol_financial_state_row_4375","FN64","","","","","","ANT IMP GCIAS.","Configuracion","0"
"__export__.delsol_financial_state_row_4376","FN65","","","","","","ANT IMP GCIAS.","Configuracion","0"
"__export__.delsol_financial_state_row_4377","FN66","","","","FN60+FN61+FN62+FN63+ FN64+FN65","","ANT IMP GCIAS.","Configuracion","0"
"__export__.delsol_financial_state_row_4378","FN67","","","","","","Morat. Impositiva y Previsional","Configuracion","0"
"__export__.delsol_financial_state_row_4379","FN68","","","","","","MORAT IMPOSIT","Configuracion","0"
"__export__.delsol_financial_state_row_4380","FN69","","","","","","MORAT IMPOSIT","Configuracion","0"
"__export__.delsol_financial_state_row_4381","FN7","","","","","","FLOOR PLAN REP","Configuracion","0"
"__export__.delsol_financial_state_row_4382","FN70","","","","","","MORAT IMPOSIT","Configuracion","0"
"__export__.delsol_financial_state_row_4383","FN71","","","","","","MORAT IMPOSIT","Configuracion","0"
"__export__.delsol_financial_state_row_4384","FN72","","","","","","MORAT IMPOSIT","Configuracion","0"
"__export__.delsol_financial_state_row_4385","FN73","","","","","","MORAT IMPOSIT","Configuracion","0"
"__export__.delsol_financial_state_row_4386","FN74","","","","FN68+FN69+FN70+FN71+ FN72+FN73","","MORAT IMPOSIT","Configuracion","0"
"__export__.delsol_financial_state_row_4387","FN75","","","","","","Otros","Configuracion","0"
"__export__.delsol_financial_state_row_4388","FN76","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4389","FN77","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4390","FN78","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4391","FN79","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4392","FN8","","","","","","FLOOR PLAN REP","Configuracion","0"
"__export__.delsol_financial_state_row_4393","FN80","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4394","FN81","","","","","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4395","FN82","","","","FN76+FN77+FN78+FN79+ FN80+FN81","","OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4396","FN83","","","","FF78+FF86+FF94+FN3+FN11+FN19+FN27+FN35+FN43+FN51+FN59+FN67+FN75","","B TOTAL DE EGRESOS OPERATIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4397","FN84","","","","FF79+FF87+FF95+FN4+FN12+FN20+FN28+FN36+FN44+FN52+FN60+FN68+FN76","","TOT EGR OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4398","FN85","","","","FF80+FF88+FF96+FN5+FN13+FN21+FN29+FN37+FN45+FN53+FN61+FN69+FN77","","TOT EGR OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4399","FN86","","","","FF81+FF89+FF97+FN6+FN14+FN22+FN30+FN38+FN46+FN54+FN62+FN70+FN78","","TOT EGR OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4400","FN87","","","","FF82+FF90+FF98+FN7+FN15+FN23+FN31+FN39+FN47+FN55+FN63+FN71+FN79","","TOT EGR OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4401","FN88","","","","FF83+FF91+FF99+FN8+FN16+FN24+FN32+FN40+FN48+FN56+FN64+FN72+FN80","","TOT EGR OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4402","FN89","","","","FF84+FF92+FN1+FN9+FN17+FN25+FN33+FN41+FN49+FN57+FN65+FN73+FN81","","TOT EGR OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4403","FN9","","","","","","FLOOR PLAN REP","Configuracion","0"
"__export__.delsol_financial_state_row_4404","FN90","","","","FF85+FF93+FN2+FN10+FN18+FN26+FN34+FN42+FN50+FN58+FN66+FN74+FN82","","TOT EGR OPERAT.","Configuracion","0"
"__export__.delsol_financial_state_row_4405","FN91","","","","FF70-FN83","","C = A  -  B","Configuracion","0"
"__export__.delsol_financial_state_row_4406","FN92","","","","FF71-FN84","","C = A  -  B","Configuracion","0"
"__export__.delsol_financial_state_row_4407","FN93","","","","FF72-FN85","","C = A  -  B","Configuracion","0"
"__export__.delsol_financial_state_row_4408","FN94","","","","FF73-FN86","","C = A  -  B","Configuracion","0"
"__export__.delsol_financial_state_row_4409","FN95","","","","FF74-FN87","","C = A  -  B","Configuracion","0"
"__export__.delsol_financial_state_row_4410","FN96","","","","FF75-FN88","","C = A  -  B","Configuracion","0"
"__export__.delsol_financial_state_row_4411","FN97","","","","FF76-FN89","","C = A  -  B","Configuracion","0"
"__export__.delsol_financial_state_row_4412","FN98","","","","FF77-FN90","","C = A  -  B","Configuracion","0"
"__export__.delsol_financial_state_row_4413","FN99","","","","","","Se?as clientes","Configuracion","0"
"__export__.delsol_financial_state_row_4414","FP1","","","","","","SALDO INICIAL","Configuracion","0"
"__export__.delsol_financial_state_row_4415","FP2","","","","","","COMPRAS","Configuracion","0"
"__export__.delsol_financial_state_row_4416","FP3","","","","","","SALIDAS","Configuracion","0"
"__export__.delsol_financial_state_row_4417","FP4","","","","FP1+FP2-FP3","","SALDO FINAL","Configuracion","0"
"__export__.delsol_financial_state_row_4418","FX1","","","","","","SEQAS CLIENTES","Configuracion","0"
"__export__.delsol_financial_state_row_4419","FX10","","","","","","PREST FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4420","FX11","","","","","","PREST FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4421","FX12","","","","","","PREST FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4422","FX13","","","","","","PREST FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4423","FX14","","","","","","PREST FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4424","FX15","","","","FX9+FX10+FX11+FX12+ FX13+FX14","","PREST FINANCIER","Configuracion","0"
"__export__.delsol_financial_state_row_4425","FX16","","","","","","Otros","Configuracion","0"
"__export__.delsol_financial_state_row_4426","FX17","","","","","","ING. NO OP OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4427","FX18","","","","","","ING. NO OP OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4428","FX19","","","","","","ING. NO OP OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4429","FX2","","","","","","SEQAS CLIENTES","Configuracion","0"
"__export__.delsol_financial_state_row_4430","FX20","","","","","","ING. NO OP OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4431","FX21","","","","","","ING. NO OP OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4432","FX22","","","","","","ING. NO OP OTROS","Configuracion","0"
"__export__.delsol_financial_state_row_4433","FX23","","","","FX17+FX18+FX19+FX20+ FX21+FX22","","ING. NO OP OTRO","Configuracion","0"
"__export__.delsol_financial_state_row_4434","FX24","","","","FN99+FX8+FX16","","D TOTAL INGRESOS NO OPERATIVOS","Configuracion","0"
"__export__.delsol_financial_state_row_4435","FX25","","","","FX1+FX9+FX17","","TOT ING NO OPER","Configuracion","0"
"__export__.delsol_financial_state_row_4436","FX26","","","","FX2+FX10+FX18","","TOT ING NO OPER","Configuracion","0"
"__export__.delsol_financial_state_row_4437","FX27","","","","FX3+FX11+FX19","","TOT ING NO OPER","Configuracion","0"
"__export__.delsol_financial_state_row_4438","FX28","","","","FX4+FX12+FX20","","TOT ING NO OPER","Configuracion","0"
"__export__.delsol_financial_state_row_4439","FX29","","","","FX5+FX13+FX21","","TOT ING NO OPER","Configuracion","0"
"__export__.delsol_financial_state_row_4440","FX3","","","","","","SEQAS CLIENTES","Configuracion","0"
"__export__.delsol_financial_state_row_4441","FX30","","","","FX6+FX14+FX22","","TOT ING NO OPER","Configuracion","0"
"__export__.delsol_financial_state_row_4442","FX31","","","","FX7+FX15+FX23","","TOT ING NO OPER","Configuracion","0"
"__export__.delsol_financial_state_row_4443","FX32","","","","","","Cancelacion Prestamos Financ.","Configuracion","0"
"__export__.delsol_financial_state_row_4444","FX33","","","","","","CANC PREST FINAN","Configuracion","0"
"__export__.delsol_financial_state_row_4445","FX34","","","","","","CANC PREST FINAN","Configuracion","0"
"__export__.delsol_financial_state_row_4446","FX35","","","","","","CANC PREST FINAN","Configuracion","0"
"__export__.delsol_financial_state_row_4447","FX36","","","","","","CANC PREST FINAN","Configuracion","0"
"__export__.delsol_financial_state_row_4448","FX37","","","","","","CANC PREST FINAN","Configuracion","0"
"__export__.delsol_financial_state_row_4449","FX38","","","","","","CANC PREST FINAN","Configuracion","0"
"__export__.delsol_financial_state_row_4450","FX39","","","","FX33+FX34+FX35+FX36+FX37+FX38","","CANC PREST FINA","Configuracion","0"
"__export__.delsol_financial_state_row_4451","FX4","","","","","","SEQAS CLIENTES","Configuracion","0"
"__export__.delsol_financial_state_row_4452","FX40","","","","","","Intereses Financieros","Configuracion","0"
"__export__.delsol_financial_state_row_4453","FX41","","","","","","INT.  FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4454","FX42","","","","","","INT.  FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4455","FX43","","","","","","INT.  FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4456","FX44","","","","","","INT.  FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4457","FX45","","","","","","INT.  FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4458","FX46","","","","","","INT.  FINANCIEROS","Configuracion","0"
"__export__.delsol_financial_state_row_4459","FX47","","","","FX41+FX42+FX43+FX44+FX45+FX46","","INT.  FINANCIER","Configuracion","0"
"__export__.delsol_financial_state_row_4460","FX48","","","","","","Honorarios-Dividendos","Configuracion","0"
"__export__.delsol_financial_state_row_4461","FX49","","","","","","HONOR. DIVIDENDOS","Configuracion","0"
"__export__.delsol_financial_state_row_4462","FX5","","","","","","SEQAS CLIENTES","Configuracion","0"
"__export__.delsol_financial_state_row_4463","FX50","","","","","","HONOR. DIVIDENDOS","Configuracion","0"
"__export__.delsol_financial_state_row_4464","FX51","","","","","","HONOR. DIVIDENDOS","Configuracion","0"
"__export__.delsol_financial_state_row_4465","FX52","","","","","","HONOR. DIVIDENDOS","Configuracion","0"
"__export__.delsol_financial_state_row_4466","FX53","","","","","","HONOR. DIVIDENDOS","Configuracion","0"
"__export__.delsol_financial_state_row_4467","FX54","","","","","","HONOR. DIVIDENDOS","Configuracion","0"
